Coding:Level1,Coding:Level2,message
Community,Community: Thanks,"['We', 'would', 'like', 'thank', 'newest', 'Individual', 'Gold', 'Member', 'Buck', 'Beasley', 'Living', 'near', 'Polytilly', 'diving', 'Subway', 'Watersports', 'thought', 'would', 'nice', 'dive', 'site', 'family', 'see', 'house', 'dive', 'could', 'The', 'mooring', 'Beasley', 'North', '40', 'located', 'west', 'Polytilly', 'channel', 'sits', '25ft', 'close', 'shallow', 'reef', 'gullies', 'leading', 'deep', 'sand', 'patch']"
Action,Action: Sell,"['Our', 'Corozal', 'bee', 'project', 'produced', 'Apicultores', 'de', 'Roatan', 'community', 'bee', 'keepers', '\\nWe', 'launch', 'first', 'products', 'shortly', 'The', 'Eco-store', 'West', 'End', 'includes', 'Honey', 'pieces', 'honeycomb', 'Medicated', 'Honey', 'infused', 'propolis', 'peppermint', 'eucalyptus', 'oils', 'amazing', 'relief', 'congestion', 'sore', 'throat', 'cold', 'symptoms', '\\nThese', 'products', 'high', 'quality', 'hooked', 'first', 'taste', '\\nKeep', 'eyes', 'ears', 'open', 'date', 'come', 'free', 'sample', 'products']"
Community,Community: Response,"['Turtle', 'Thursday', 'Have', 'spare', 'minute', 'Why', 'try', 'turtle', 'origami']"
Community,Community: Response,"['Check', 'TEDX', 'Giaco\\u2019s', 'speaks', 'experience', 'creating', 'Shark', 'Sanctuary', 'Honduras', 'Listen', 'ways', 'country', 'gain', 'income', 'shark', 'tourism', 'still', 'protecting', 'beautiful', 'creatures.We', 'proud', 'Executive', 'Director', 'Roatan', 'Marine', 'Park', 'Giacomo', 'Palavicini', 'giving', 'inspiring', 'talks']"
Community,Community: Response,"['This', 'great', 'interactive', 'tool', 'help', 'make', 'responsible', 'seafood', 'choices', 'You', 'filter', 'sustainability', 'omega-3', 'mercury', 'level', 'Very', 'helpful']"
Action,Action: Sell,"['Has', 'everyone', 'got', '2015', 'black', 'wristband', 'token', 'yet', 'We', 'going', 'sending', 'US', 'soon', 'interested', 'please', 'email', 'us', 'info', 'roatanmarinepark.net', 'drop', 'ECO', 'Store', 'today', 'By', 'buying', 'helping', 'protect', 'reef', 'Your', 'contributions', 'really', 'appreciated', 'Thank']"
Community,Community: Thanks,"['Prototype', 'Corozal', 'Honey', 'displays', 'Thank', 'Coconut', 'Tree', 'Divers', '&', 'Go', 'Pro', 'Caribbean', 'Bill', 'Etches', 'helping', 'They', 'came', 'great']"
Information,Information,"['In', 'world', 'selfies', 'food', 'pics', 'apparent', 'enjoyment', 'moment', 'common', 'anymore.\\nPlease', ""'re"", 'visiting', 'Roatan', 'collect', 'amazing', 'memories', 'precious', 'marine', 'life']"
Information,Information,"['Please', 'give', 'us', 'call', '2445-4206', '2445-', '4208', 'email', 'info', 'roatanmarinepark.net']"
Community,Community: Thanks,"['Thank', 'shawn', 'jackson', 'documenting', 'rescue']"
Information,Information,"['The', 'graph', 'indicates', 'funds', 'generated', 'sale', '``', 'user', 'fee', ""''"", 'membership', 'payments', 'dive', 'shops', 'businesses', 'within', 'SBWEMR', '2014', 'It', 'include', 'user', 'fees', 'consignment', 't-shirt', 'sales', 'lionfish', 'licenses', 'We', 'would', 'like', 'thank', 'supporters', 'big', 'small', 'highlight', 'without', 'promoting', 'conservation', 'message', 'would', 'unable', 'continue', 'protecting', 'Roatan', 'reefs', 'It', 'great', '2014', 'hope', 'increase', 'support', '2015']"
Community,Community: Thanks,"['Recreovilla', 'Municipal', 'Initiative', 'designed', 'get', 'kids', 'active', 'learning', 'community', 'This', 'year', 'charge', 'education', 'activities', 'Thank', 'Bomberos', 'helping', 'races', 'keeping', 'everyone', 'safe', 'Thank', 'The', 'New', 'Roatan', 'Fuerza', 'Naval', 'Policia', 'Preventiva', 'Zolitur', 'Copeco', 'Janet', 'Wood', 'It', 'great', 'day', 'kids', 'blast']"
Community,Community: Response,"['Wish', 'diving', 'Roatan', 'Click', 'play', 'see', 'high', 'fish', 'abundance', 'coral', 'cover', 'dramatic', 'topography', 'area', 'Thank', 'Joseph', 'Pawlik', 'great', 'video']"
Community,Community: Thanks,"['Staff', 'volunteer', 'trip', 'Cordelia', 'Thanks', 'Girls', 'great', 'time']"
Community,Community: Thanks,"['Danny', 'Hydes', 'working', 'SOL', 'Nidia', 'P.', 'Webster', 'making', 'back', 'school', 'transition', 'easier', 'kids', 'Sandy', 'Bay', 'popinaction', 'localsthatcare\\nGreat', 'job', 'Keep', 'good', 'work']"
Information,Information,"['May', 'lesson', 'us']"
Action,Action: Promo,"['Well', 'beach', 'clean', '24', 'hours', 'In', 'comes', 'new', 'wave', 'sorts', 'creatures', 'Due', 'amount', 'sargassum', 'bays', 'starting', '``', 'T-shirt', 'Turtle', ""''"", 'campaign', '\\nRescue', 'Turtle', 'get', 'RMP', 'T-shirt', 'Contact', 'Christi', 'details', '3289', '1213', '\\nThank', 'OC', 'rescue']"
Information,Information,"['The', 'graph', 'indicates', 'funds', 'generated', 'sale', '``', 'user', 'fee', ""''"", 'membership', 'payments', 'dive', 'shops', 'businesses', 'outside', 'SBWEMR', '2014', 'It', 'include', 'user', 'fees', 'consignment', 't-shirt', 'sales', 'lionfish', 'licenses', 'We', 'would', 'like', 'thank', 'supporters', 'big', 'small', 'highlight', 'without', 'promoting', 'conservation', 'message', 'would', 'unable', 'continue', 'protecting', 'Roatan', 'reefs', 'It', 'great', '2014', 'hope', 'increase', 'support', '2015']"
Information,Information,"['While', 'sargassum', 'creating', 'headache', 'many', 'Caribbean', 'today', 'it\\u2019s', 'also', 'important', 'remember', 'integral', 'role', 'plays', 'marine', 'ecology', 'high', 'seas', 'Northern', 'Atlantic', 'For', 'information', 'head', 'Sargasso', 'Sea', 'Alliance\\u2019s', 'webpage', 'As', 'sea', 'without', 'land', 'border', 'Sargasso', 'unique', 'whole', 'Ocean', 'well', 'worth', 'exploring']"
Information,Information,"['Check', 'first', 'newsletter', '2015', 'available', 'website']"
Community,Community: Response,"['This', 'Thailand', 'act', 'warning', 'us', 'could', 'happen', 'anywhere', 'Please', 'feed', 'wildlife', 'leaving', 'lionfish', 'please', 'directly', 'feed', 'grouper', 'snapper', 'sharks', 'morays', 'We', 'want', 'association', 'diver', 'food', 'become', 'problem']"
Action,Action: Promo,"['Join', 'us', 'celebrate', '10th', 'Birthday']"
Community,Community: Response,"['Want', 'know', 'importance', 'mangroves', 'Watch', 'nice', 'video', 'mangroves']"
Action,Action: Sell,"['ROATAN', 'HONEY', 'available', 'NOW', 'RMP', 'Eco', 'Store', 'Come', 'TODAY', 'tasting', 'session', 'producers', 'We', 'medicated', 'honey', 'propolis', 'eucalyptus', 'peppermint', 'honey', 'honeycomb']"
Information,Information,"['The', 'graph', 'indicates', 'funds', 'generated', 'sale', '``', 'user', 'fee', ""''"", 'membership', 'payments', 'dive', 'shops', 'businesses', 'within', 'SBWEMR', 'January', '2015', 'It', 'include', 'user', 'fees', 'consignment', 't-shirt', 'sales', 'lionfish', 'licenses', 'We', 'would', 'like', 'thank', 'supporters', 'big', 'small', 'highlight', 'without', 'promoting', 'conservation', 'message', 'would', 'unable', 'continue', 'protecting', 'Roatan', 'reefs']"
Information,Information,"['The', 'graph', 'indicates', 'funds', 'generated', 'sale', '``', 'user', 'fee', ""''"", 'membership', 'payments', 'dive', 'shops', 'businesses', 'outside', 'SBWEMR', 'January', '2015', 'It', 'include', 'user', 'fees', 'consignment', 't-shirt', 'sales', 'lionfish', 'licenses', 'We', 'would', 'like', 'thank', 'supporters', 'big', 'small', 'highlight', 'without', 'promoting', 'conservation', 'message', 'would', 'unable', 'continue', 'protecting', 'Roatan', 'reef']"
Community,Community: Response,"['Do', 'want', 'jelly', 'fish', 'soup', 'Watch', 'video', 'importance', 'marine', 'reserves', 'work', 'It', 'time', 'take', 'action']"
Community,Community: Response,"['Well', 'It', 'poached', 'steamed', 'fried', 'sauteed', 'pickled', 'fricasseed', 'cooked', 'water', 'oil', 'coconut', 'milk', 'sun', 'dried', 'eaten', 'sugar', 'vinegar', 'used', 'stuffing']"
Community,Community: Thanks,"['We', 'would', 'like', 'thank', 'ongoing', 'supporters', 'Jim', 'Michael', 'Jaskunas', 'recently', 'became', 'Gold', 'Individual', 'Gold', 'Members', 'named', 'dive', 'site', '``', 'Rockies', 'Reef', ""''"", 'The', 'mooring', 'located', 'west', 'Mora', 'Channel', 'opposite', 'Lawson', 'Rock', 'Sitting', '30ft', 'close', 'reef', 'crest', 'long', 'swim', 'deep', 'With', 'intricate', 'swim', 'throughs', 'shallows', 'site', 'great', 'levels', 'diver']"
Action,Action: Promo,"['We', 'holding', 'lionfish', 'spearing', 'workshop', 'afternoon', '4pm', 'office', 'West', 'End', 'Please', 'contact', 'us', 'interested', 'info', 'roatanmarinepark.net', 'call', '2445-4206/08']"
Action,Action: Donate,"['WOW', 'We', ""'ve"", 'many', 'great', 'donations', 'auction', 'raffle', 'prizes', 'far', 'If', 'business', 'would', 'like', 'donate', 'anything', 'please', 'let', 'us', 'know', 'All', 'funds', 'raise', 'go', 'directly', 'towards', 'conservation', 'efforts', 'We', 'really', 'appreciate', 'great', 'support', 'Thank', 'thank', 'thank', 'great', 'supporters']"
Community,Community: Thanks,"['We', 'would', 'like', 'thank', 'Dennis', 'Martha', 'Clements', 'continuing', 'support', 'purchasing', 'dive', 'mooring', 'Mickey', 'Place', 'Having', 'already', 'names', 'Dennis', 'Drop', 'MAC', 'wall', 'decided', 'name', 'latest', 'site', 'favorite', 'dive', 'master', 'Mickey', 'Charteris', 'Located', 'wall', 'near', 'Bikini', 'Bottom', 'mooring', 'sitting', '45ft', 'close', 'deep', 'sand', 'patch']"
Information,Information,"['Just', 'reminder', 'FREE', 'Water', 'Taxi', 'Shuttle', 'back', 'forth', 'West', 'End', 'Banarama', 'Friday', 'Our', 'birthday', 'bash', 'starts', '1pm', 'keep', 'going', 'late', 'make', 'sure', 'come', 'along']"
Action,Action: Donate,"['If', 'ca', 'make', 'birthday', 'party', 'Friday', 'still', 'participate', 'auction', 'If', 'want', 'make', 'bid', 'go', 'ahead', 'comment', 'item', 'price', 'willing', 'pay']"
Community,Community: Thanks,"['Great', 'job', 'Nic']"
Action,Action: Donate,"['We', ""'ve"", 'first', 'bid', 'come', 'trip', 'Cayos', 'Cochinos', 'two', 'Check', 'items', 'make', 'bid', 'good', 'luck', 'Keep', 'eye', 'items', 'coming', 'soon', 'Thanks', 'supporters', 'amazing', 'donations']"
Action,Action: Promo,"['Here', 'tiny', 'taste', 'raffle', 'prizes', 'tomorrow', 'There', 'loads', 'come', 'Make', 'sure', 'buy', 'raffle', 'tickets.BIG', 'THANK', 'YOU', 'everyone', 'donated', '$', '20', 'Gift', 'Cert', '-DIX', 'Half', 'Way', 'Inn', '\\n1992', 'RP', 'Cigar-', 'Franks', 'Cigar', 'Bar\\n', '$', '20', 'Bikini', 'Bottom', 'Boutique\\n', '$', '20', 'So', 'Tropic', 'West', 'Bay', 'Mall', '\\nWhiskey', '-Quality', 'Time', 'Divers\\n2', 'Tank', 'Dive', 'Trip', '1', 'guys', 'Black', 'Pearl\\nMares', 'rash', 'guard', 'snorkel', '\\n2', 'Paddle', 'Board', 'Rentals-', 'Roatan', 'Paddle', 'Sports\\n', '$', '25', 'Food', 'drink', 'merchandise-', 'Lala', 'Gallery', 'Garden', 'Cafe', '$', '25', 'Food', '&', 'Drink', '-Fosters', 'West', 'Bay\\n', '$', '25', 'Food', '&', 'Drink', '-', 'Cafe', 'Escondido\\n', '$', '50', 'Umbul', 'Umbul', '\\n500', 'lempira', 'Mangiamos', '\\nRoatan', 'Rum', 'Company', 'Pastel', 'con', 'Rum', 'x', '2', '$', '50', 'Meal', 'certificate', 'Half', 'Moon', 'Bay', 'Resort', '\\n2', 'deserts', '2', 'free', 'drinks', 'Lily', 'Pond\\n', '$', '20', 'certificate', 'Tita\\u2019s', 'Bar\\n', '$', '40', 'dinner', 'Buccaneer', 'welcome', 'cocktail.\\nDinner', '2', '-', 'Chicken', 'Rotisserie', '\\n60', 'minute', 'massage', 'Om', 'Shanti', 'Susi', 'Stern']"
Action,Action: Promo,"['It', 'amazing', 'Too', 'many', 'auction', 'items', 'prizes', 'coming', 'It', 'getting', 'exciting', 'Place', 'bids', 'see', 'Bananrama', 'live', 'auction']"
Action,Action: Promo,"['TODAY', 'DAY', 'HAPPY', 'BIRTHDAY', 'us', 'Come', 'celebrate', 'FREE', 'entry', 'FREE', 'Water', 'Taxi', 'Coconut', 'Tree', 'Dock', '1-5pm', 'FREE', 'Shuttle', 'back', 'forth', 'West', 'End-West', 'Bay', '10pm', 'If', 'ca', 'make', 'make', 'bid', 'auction', 'folder', 'miss', 'great', 'items', 'grabs']"
Community,Community: Thanks,"['What', 'great', 'day', 'Thank', 'everyone', 'came', 'support', 'BIG', 'Thank', 'kind', 'donations', 'BananaramaDive', 'Beach', 'Front', 'Resort', 'great', 'host', 'We', 'fantastic', 'day', 'We', 'busy', 'get', 'take', 'enough', 'photos', 'please', 'share', 'photos', 'us', 'Thanks']"
Information,Information,"['Good', 'morning', 'friends', 'supporters', '\\nYesterday', 'great', 'day', 'case', 'feeling', 'weather', 'today', 'easy', 'ways', 'feel', 'little', 'better']"
Information,Information,"['Executive', 'Director', 'Carlos', 'R', 'Giacomo', 'S', 'Palavicini', 'busy', 'workshop', 'strategies', 'climate', 'change', 'securing', 'funding', 'great', 'project', 'providing', 'solutions', 'island', 'More', 'information', 'coming', 'soon', 'Though', 'sad', '10th', 'Birthday', 'think', 'that\\u2019s', 'pretty', 'awesome', 'important', 'place', 'instead']"
Action,Action: Promo,"['The', 'RMP', 'annual', 'photo', 'competition', 'months', 'away', 'check', 'winners', 'get', 'inspiration']"
Community,Community: Thanks,"['We', 'want', 'say', 'another', 'big', 'thank', 'support', 'Thanks', 'donors', 'supporters', 'everyone', 'came', 'along', 'celebrate', 'BIG', 'thank', 'volunteers', 'host', 'BananaramaDive', 'Beach', 'Front', 'Resort', 'staff', 'Thank', 'Go', 'Blue', 'Central', 'America', 'Geotourism', 'great', 'photos', 'birthday', 'party', 'If', 'anyone', 'else', 'photos', 'please', 'share']"
Community,Community: Thanks,"['We', 'want', 'say', 'BIG', 'THANK', 'YOU', 'great', 'donation', 'received', 'The', 'School', 'Environmental', 'Studies', 'Minnesota', 'Zoo', 'raised', 'funds', '``', 'penny', 'war', ""''"", 'chose', 'donate', 'us', 'learning', 'community', 'environmental', 'programs', 'Another', 'BIG', 'THANK', 'YOU', 'St', 'Georges', 'School', 'Montreal', 'great', 'donation', 'raised', 'money', 'past', 'year', 'running', 'several', 'bake', 'sales', 'school', 'came', 'Roatan', 'coral', 'reef', 'ecology', 'course', 'We', 'hope', 'students', 'inspired', 'become', 'conservationists', 'future', 'Thank', 'support']"
Information,Information,"['These', 'pictures', 'able', 'take', 'busy', 'If', 'please', 'post', 'page', 'tag', 'us', 'It', 'good', 'time', 'better', 'photos', 'prove']"
Community,Community: Response,"['Please', 'post', 'tag', 'us', 'photos', '10th', 'Anniversary', 'We', 'unfortunately', 'managed', 'take']"
Community,Community: Response,"['What', 'three', 'basic', 'principles', 'needed', 'guaranteed', 'long', 'term', 'sustainability', 'Environmental', 'protection', 'economic', 'growth', 'stakeholders', 'overall', 'respect', 'socio-cultural', 'authenticity', 'host', 'community', 'Learn', 'Go', 'Blue', 'Central', 'America', 'Geotourism']"
Community,Community: Response,"['Simple', 'video', 'powerful', 'message', 'buildingawareness', 'plastickills']"
Community,Community: Response,"['Soon', 'starting', 'school', 'presentations', 'Climate', 'Change', 'Oceans', 'topic', '\\nHere', 'really', 'cool', 'website', 'kids', 'get', 'involved', 'understanding', 'topic', 'We', 'recommend', 'playing', 'Climate', 'Trivia', 'test', 'knowledge']"
Action,Action: Promo,"['Tonight', 'Bananarama']"
Community,Community: Response,"['It', 'may', 'awhile', 'since', 'seen', 'maybe', 'first', 'time', 'check', 'Roatan', 'Marine', 'Park', 'video', 'Roatan', 'Travel', 'Network']"
Community,Community: Response,"['Great', 'see', 'new', 'software', 'developed', 'help', 'protect', 'endangered', 'species', 'Any', 'ideas', 'new', 'software', 'could', 'help']"
Information,Information,"['If', 'anyone', 'yet', 'pay', 'auction', 'prizes', 'please', 'week', 'If', 'paid', 'waiting', 'perfect', 'time', 'come', 'pick', 'certificate', 'take', 'time', 'keep', 'safe']"
Community,Community: Response,"['Check', 'GBCA', 'newsletter', 'LIKE', 'Facebook', 'lots', 'interesting', 'updates', 'sustainability', 'environment', 'culture', 'heritage', 'well', 'residents', 'part', 'Bay', 'Islands.Go', 'ahead', 'hit', 'LIKE', 'Go', 'Blue', 'Central', 'America', 'Geotourism']"
Information,Information,"['Having', 'received', 'email', 'concerned', 'resident', 'Port', 'Royal', 'regarding', 'large', 'net', 'lagoon', 'Park', 'Rangers', 'accompanied', 'Navy', 'mobilized', 'headed', 'east', 'Near', 'Fort', 'Key', 'found', 'huge', 'net', 'staked', 'seagrass', 'water', 'since', '6pm', 'previous', 'night', 'Within', 'net', 'starfish', 'fish', 'seafans', 'pieces', 'coral', 'With', 'much', 'effort', 'net', 'removed', 'possession']"
Action,Action: Sell,"['Delicious', 'Palmito', 'Palm', 'Hearts', 'available', 'NOW', 'ECO', 'Store', 'These', 'produced', 'women', 'cooperative', 'Tela', 'supported', 'So', 'shopping', 'supporting', 'us', 'conservation', 'efforts', 'whole', 'lot', 'Plus', 'tasty', 'try', 'quick', 'eat', 'Great', 'salads', 'even', 'straight', 'jar']"
Action,Action: Help,"['Need', 'someone', 'help', 'song', 'like', 'Climate', 'Change', 'Honduras', 'Can', 'help', '\\nNecesitamos', 'su', 'ayuda', 'para', 'elaborar', 'una', 'cancion', 'asi', 'sobre', 'el', 'Cambio', 'Climatico', 'en', 'Honduras']"
Action,Action: Sell,"['We', ""'ve"", 'great', 'response', 'Roatan', 'Honey', 'medicinal', 'honeycomb', 'nearly', 'sold', 'Until', 'next', 'batch', 'comes', 'avoid', 'disappointment', 'come', 'get', 'jar', 'today']"
Action,Action: Sell,"['Ever', 'Coxen', 'Hole', 'need', 'new', 'shirt', 'This', 'beautiful', 'kiosk', 'Port', 'Roatan', 'open', 'cruise', 'ship', 'days', 'open', 'public', 'Shop', 'Support', 'Protect', 'turtles']"
Information,Information,"['The', 'graph', 'indicates', 'funds', 'generated', 'sale', '``', 'user', 'fee', ""''"", 'membership', 'payments', 'dive', 'shops', 'businesses', 'within', 'SBWEMR', 'January', 'February', '2015', 'It', 'include', 'user', 'fees', 'consignment', 't-shirt', 'sales', 'lionfish', 'licenses', 'We', 'would', 'like', 'thank', 'supporters', 'big', 'small', 'highlight', 'without', 'promoting', 'conservation', 'message', 'would', 'unable', 'continue', 'protecting', 'Roatan', 'reefs']"
Action,Action: Help,"['We', 'need', 'hellllppppp', '\\nCalling', 'DMTs', 'looking', 'someone', 'help', 'us', 'map', 'snorkel', 'area', 'West', 'Bay.\\nWe', 'looking', 'space', 'Infinity', 'Dock', 'Black', 'Rock', 'recommended', 'snorkel', 'paths', 'places', 'avoid', '\\nWe', 'also', 'painting', 'sheet', 'Plywood', 'posting', 'beach', '\\nPlease', 'Thank']"
Information,Information,"['The', 'graph', 'indicates', 'funds', 'generated', 'sale', '``', 'user', 'fee', ""''"", 'membership', 'payments', 'dive', 'shops', 'businesses', 'outside', 'SBWEMR', 'January', 'February', '2015', 'It', 'include', 'user', 'fees', 'consignment', 't-shirt', 'sales', 'lionfish', 'licenses', 'We', 'would', 'like', 'thank', 'supporters', 'big', 'small', 'highlight', 'without', 'promoting', 'conservation', 'message', 'would', 'unable', 'continue', 'protecting', 'Roatan', 'reefs']"
Information,Information,"['Working', 'navy', 'patrol', 'boat', 'traveled', 'east', 'early', 'yesterday', 'morning', 'catch', 'unsuspecting', 'poachers', 'guard', 'We', 'fortunate', 'enough', 'confiscate', 'large', 'monfilament', 'net', 'close', 'golf', 'course', 'hook', 'rods', 'area', 'It', 'good', 'week', 'regarding', 'nets', 'RMP', 'patrols']"
Action,Action: Promo,"['It', 'perfect', 'day', 'listen', 'great', 'music', 'Bring', 'blanket', 'meet', 'us', 'Lawson', 'Rock', 'fun', 'stats', '3', '\\nKevin', 'Braun', 'Cannibal', 'Cafe', 'offering', 'free', 'ride', 'West', 'End', '6', 'work', 'til', '5']"
Action,Action: Promo,"['Right', 'right', 'Eco', 'night', 'Half', 'Moon', 'Bay', 'Cabins', 'Tonight', 'Galapagos']"
Information,Information,"['We', 'happy', 'We', 'notified', 'official', 'tax-exempt', 'status', 'approved', '``', 'Roatan', 'Marine', 'Park', 'International', 'Inc', ""''"", 'We', 'US', 'Non-Profit', 'Public', 'Charity', '501', 'c', '3', 'status', 'More', 'information', 'coming', 'soon']"
Community,Community: Thanks,"['Thank', 'great', 'volunteers', 'help', 'making', 'beautiful', 'signs', 'patrolling', 'beaches', 'We', 'lucky', 'get', 'great', 'artists', 'time', 'Thank']"
Community,Community: Thanks,"['A', 'great', 'day', 'forming', 'National', 'Marine', 'Park', 'Committee', 'We', 'continue', 'working', 'together', 'conserve', 'protect', 'Bay', 'Islands', 'future']"
Information,Information,"['This', 'incredible', '\\nThe', 'canaries', 'mines', 'stopped', 'chirping', 'Now']"
Information,Information,"['Just', 'little', 'background', 'baby', 'sea', 'lions', 'washing', 'beaches', 'California', 'The', 'west', 'coast', 'Us', 'Canada', 'Mexico', 'And', 'likely', 'Guatemala', 'Honduras', 'El', 'Salvador', 'Nicaragua', 'Costa', 'Rica', 'start', 'feel', 'effects', '2015']"
Information,Information,"['Guess', 'morose', 'Monday', 'But', 'plastic', 'reduction', 'important', '\\n\\u201cThe', 'team', 'found', '21', 'small', 'plastic', 'bags', '11', 'plastic', 'sheets', 'detergent', 'container', 'six-metres', 'long', 'caution', 'tape', 'juvenile', 'male', 'pilot', 'whale', '\\u201d']"
Community,Community: Thanks,"['Roatan', 'many', 'school', 'groups', 'come', 'learn', 'dive', 'research', 'reef', 'This', 'year', '2', 'big', 'groups', 'came', 'visit', 'learn', 'also', 'fund', 'raised', 'gave', 'back', 'organization', 'Thank', 'St.', 'George', 'School', 'Montreal', 'School', 'Environmental', 'Studies', 'Minnesota', 'generous', 'help', 'continuous', 'support', '\\n\\nIt', 'schools', 'teachers', 'students', 'like', 'give', 'us', 'hope', 'future', 'Conservation', 'awareness', 'finest']"
Information,Information,"['The', 'graph', 'indicates', 'funds', 'generated', 'sale', '``', 'user', 'fee', ""''"", 'membership', 'payments', 'dive', 'shops', 'businesses', 'within', 'SBWEMR', 'January', 'March', '2015', 'It', 'include', 'user', 'fees', 'consignment', 't-shirt', 'sales', 'lionfish', 'licenses', 'We', 'would', 'like', 'thank', 'supporters', 'big', 'small', 'highlight', 'without', 'promoting', 'conservation', 'message', 'would', 'unable', 'continue', 'protecting', 'Roatan', 'reefs']"
Information,Information,"['The', 'graph', 'indicates', 'funds', 'generated', 'sale', '``', 'user', 'fee', ""''"", 'membership', 'payments', 'dive', 'shops', 'businesses', 'outside', 'SBWEMR', 'January', 'March', '2015', 'It', 'include', 'user', 'fees', 'consignment', 't-shirt', 'sales', 'lionfish', 'licenses', 'We', 'would', 'like', 'thank', 'supporters', 'big', 'small', 'highlight', 'without', 'promoting', 'conservation', 'message', 'would', 'unable', 'continue', 'protecting', 'Roatan', 'reefs']"
Community,Community: Thanks,"['No', 'botes', 'basura', 'en', 'la', 'playa', 'Do', 'litter', 'beach', 'Happy', 'Easter', 'Enjoy', 'keep', 'beaches', 'clean']"
Information,Information,"['Here', 'new', 'markers', 'West', 'Bay', 'Grand', 'Roatan', 'aim', 'prevent', 'people', 'getting', 'stuck', 'shallow', 'areas', 'standing', 'reef', 'The', 'channel', 'well', 'marked', 'green', 'large', 'markers', 'connected', 'line', 'installed', 'visual', 'barrier', 'red']"
Information,Information,"['Those', 'colorful', 'rocks', 'people', 'stand', 'way']"
Community,Community: Thanks,"['Happy', 'Easter', 'team']"
Information,Information,"['How', 'deep', 'ocean', 'How', 'protect', 'something', 'immense', 'little', 'help', 'STAND', 'UP', 'FOR', 'OUR', 'OCEANS', 'STAND', 'UP', 'FOR', 'OURSELVES']"
Community,Community: Thanks,"['We', 'would', 'like', 'thank', 'Rigoberto', 'Palmetto', 'area', 'took', 'initiative', 'confiscate', 'juvenile', 'hawksbill', 'fishermen', 'bring', 'lucky', 'individual', 'RMP', 'office', 'subsequently', 'released', 'If', 'see', 'people', 'captive', 'turtles', 'please', 'call', 'us', '2445-4208']"
Community,Community: Response,"['Check', 'video', 'Roatan', 'video', 'shot', 'entirety', 'free', 'diving', 'West', 'Bay', 'Jaques', 'Lalonde', 'In', 'video', 'see', '60', 'marine', 'species', 'big', 'small', 'However', 'fraction', 'vast', 'number', 'living', 'around', 'Roatan', 'Enjoy']"
Community,Community: Response,"['Check', 'nice', 'little', 'infographic', 'full', 'helpful', 'tips', 'sustainable', 'traveling']"
Community,Community: Response,"['Yes', 'Now', 'talking', '\\u201cworld\\u2019s', 'first', 'feasible', 'concept', 'clean', 'oceans', 'plastic.\\u201d']"
Information,Information,"['We', 'great', 'day', 'Punta', 'Gorda', 'yesterday', 'celebrating', 'learning', 'local', 'cultures', 'key', 'theme', 'sustainability', 'Take', 'look', 'video', 'learn', 'bit']"
Information,Information,"['Photos', 'year', 'Garifuna', 'April', '12th', 'Celebration', 'marks', 'arrival', 'first', 'Garifuna', 'people', 'Central', 'America', 'particular', 'Punta', 'Gorda', 'To', 'see', 'updates', 'sustainable', 'tourism', 'local', 'culture', 'Click', 'like', 'Go', 'Blue', 'Central', 'America', 'Geotourism']"
Action,Action: Sell,"['New', 'product', 'Eco', 'Store', 'Kisuma', 'Batana', 'natural', 'moisturiser', 'hair', 'skin', 'product', 'even', 'known', 'control', 'hair', 'loss', 'prevents', 'darkens', 'grey', 'hairs', 'The', 'production', 'batana', 'oil', 'sustainable', 'alternative', 'improving', 'livelihoods', 'fishing', 'communities', 'La', 'Moskitia', 'Honduras', 'Come', 'try']"
Community,Community: Thanks,"['Last', 'Week', 'Eco', 'Night', 'mangroves', 'presented', 'Verena', 'Hoelzer', 'She', 'shared', 'monitoring', 'techniques', 'implementing', 'last', '6', 'months', '\\nThank', 'hard', 'work', 'look', 'forward', 'reading', 'thesis']"
Information,Information,"['Mark', 'Havey', 'Award', 'Conservation', 'Excellence\\nThis', 'award', 'granted', 'one', 'influential', 'community', 'member', 'every', '4', 'years', '\\nThe', 'recipient', 'chosen', 'Roatan', 'Marine', 'Park', 'Board', 'Directors', 'Staff', 'Members', 'based', 'contributions', 'conservation', 'within', 'Roatan', 'Bay', 'Islands', 'The', 'recipient', 'well', 'respected', 'field', 'peers', 'well', 'looked', 'role', 'model', 'within', 'community', 'within', 'conservation', 'community', 'family', '\\n\\nAfter', 'much', 'thought', 'unanimously', 'decided', 'first', 'ever', 'recipient', 'Mark', 'Havey', 'Award', 'Conservation', 'Excellence', 'Mr.', 'Sherman', 'Arch', 'French', 'Cay', '\\n\\nMr', 'Sherman', 'began', 'conservation', 'efforts', 'opened', 'house', 'property', 'preserve', 'Green', 'Iguana', 'population', 'Then', 'expanded', 'area', 'conservation', 'include', 'rescued', 'monkeys', 'parrots', 'raccoons', 'eventually', 'onto', 'marine', 'area', 'mainly', 'purchasing', 'sea', 'turtles', 'keeping', 'could', 'released', 'safely', 'back', 'onto', 'reef', '\\n\\nCurrently', 'along', 'family', '10', 'community', 'members', 'French', 'Cay', 'dedicated', 'lives', 'protect', 'bay', 'surrounding', 'Big', 'Little', 'French', 'Cay', '\\n\\nThank', 'Mr.', 'Sherman', 'everything', 'done', 'make', 'Roatan', 'better', 'place']"
